date,AE33,AE36,MAAP,orden
2026-08-02T14:25:00Z,387.90279720279693,43.19230769230771,0,13901
2026-08-02T14:30:00Z,454.85,160.49316239316195,0,13902
2026-08-02T14:35:00Z,139.25,336.444444444444,0,13903
2026-08-02T14:40:00Z,139.25,188.377777777778,0,13904
2026-08-02T14:45:00Z,139.25,378,10,13905
2026-08-02T14:50:00Z,139.25,1343,10,13906
2026-08-02T14:55:00Z,174.1,135.36363636363603,0,13907
2026-08-02T15:00:00Z,182.8125,135.36363636363603,0,13908
2026-08-02T15:05:00Z,182.8125,180.472727272727,0,13909
2026-08-02T15:10:00Z,525.645,211.428571428571,0,13910
2026-08-02T15:15:00Z,617.8254545454549,126.97142857142899,0,13911
2026-08-02T15:20:00Z,526.9090909090911,70.6666666666667,40,13912
2026-08-02T15:25:00Z,362.3676767676769,96.53333333333329,30,13913
2026-08-02T15:30:00Z,115.55555555555598,103,10,13914
2026-08-02T15:35:00Z,115.55555555555598,161.4,180,13915
2026-08-02T15:40:00Z,115.55555555555598,249,490,13916
2026-08-02T15:45:00Z,115.55555555555598,331,90,13917
2026-08-02T15:50:00Z,115.55555555555598,180.24444444444399,60,13918
2026-08-02T15:55:00Z,205.6,142.55555555555597,80,13919
2026-08-02T16:00:00Z,1503.6,45.5,40,13920
2026-08-02T16:05:00Z,351.769230769231,45.5,100,13921
2026-08-02T16:10:00Z,351.769230769231,45.5,100,13922
2026-08-02T16:15:00Z,351.769230769231,112.85,50,13923
2026-08-02T16:20:00Z,351.769230769231,213.875,300,13924
2026-08-02T16:25:00Z,351.769230769231,513.2416666666671,300,13925
2026-08-02T16:30:00Z,375.3538461538461,311.933333333333,30,13926
2026-08-02T16:35:00Z,504.9,289.57142857142895,30,13927
2026-08-02T16:40:00Z,637.535897435897,171.22857142857097,30,13928
2026-08-02T16:45:00Z,94.5897435897436,92.33333333333329,0,13929
2026-08-02T16:50:00Z,94.5897435897436,665.1666666666671,0,13930
2026-08-02T16:55:00Z,94.5897435897436,321.27142857142894,270,13931
2026-08-02T17:00:00Z,94.5897435897436,25.4285714285714,120.00000000000001,13932
2026-08-02T17:05:00Z,94.5897435897436,227.93559322033897,250,13933
2026-08-02T17:10:00Z,94.5897435897436,19.669491525423698,730,13934
2026-08-02T17:15:00Z,94.5897435897436,19.669491525423698,470.00000000000006,13935
2026-08-02T17:20:00Z,68.00256410256408,19.669491525423698,30,13936
2026-08-02T17:25:00Z,50.2777777777778,19.669491525423698,10,13937
2026-08-02T17:30:00Z,50.2777777777778,19.669491525423698,10,13938
